1 10 19 17 14 13 10 16 22 24 19 16 24 23 25 23
2 19 10 25 23 19 16 14 13 27 21 17 24 20 16 18
5 13 19 12 12 7 13 15 21 17 11 11 18 20 20 16
9 24 27 18 19 17 24 23 24 7 16 19 21 26 21 18
13 23 20 26 24 20 21 15 12 26 21 17 16 6 11 16
4 14 23 14 9 12 15 19 25 19 14 15 21 24 22 18
7 16 14 20 19 15 13 3 16 23 17 12 18 15 17 22
10 19 21 13 14 11 18 17 20 16 9 12 16 21 17 13
12 24 24 21 21 18 21 18 21 21 16 14 5 16 18 14
15 23 18 18 18 16 23 22 14 18 13 18 14 16 12 10
3 17 25 10 14 12 19 20 24 18 13 16 21 26 22 18
6 10 16 19 15 13 5 13 19 24 18 14 22 20 22 23
8 22 13 24 25 21 19 16 10 24 20 18 21 12 11 14
11 16 16 17 15 11 14 12 18 19 12 4 14 17 21 18
14 25 16 22 22 20 22 17 11 21 17 21 18 11 10 12
