id,type,ptAx,ptAy,ptBx,ptBy,name,linkVolAB,linkVolBA,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
17,3,178,211,151,68,"conCentroide_17821115168",3557.1,4748.5,0.0,30.0,5.0,5.0,3557.0581,4748.5344
8,3,434,196,485,233,"conCentroide_434196485233",2993.3,3013.6,0.0,30.0,5.0,5.0,2993.2808,3013.6108
7,3,434,196,405,251,"conCentroide_434196405251",2749.9,2728.8,0.0,30.0,5.0,5.0,2749.9017,2728.8392
20,3,306,200,331,196,"conCentroide_306200331196",1860.1,1360.5,0.0,30.0,5.0,5.0,1860.1272,1360.545
135,3,488,671,483,622,"conCentroide_488671483622",25061.4,22944.4,0.0,30.0,5.0,5.0,25061.402,22944.378
89,3,307,492,276,529,"conCentroide_307492276529",884.0,0.0,0.0,30.0,5.0,5.0,884.01202,0.0
16,3,178,211,68,232,"conCentroide_17821168232",0.0,1531.4,0.0,30.0,5.0,5.0,0.0,1531.4371
100,3,446,487,452,449,"conCentroide_446487452449",11893.1,11876.3,-1.39234638054049e+188,30.0,5.0,5.0,11893.103,11876.27
90,3,307,492,280,398,"conCentroide_307492280398",7244.4,7426.3,0.0,30.0,5.0,5.0,7244.4136,7426.3439
115,3,613,405,553,468,"conCentroide_613405553468",2937.0,1300.6,0.0,30.0,5.0,5.0,2937.0069,1300.6275
88,3,370,459,307,492,"conCentroide_370459307492",6140.9,5420.9,0.0,30.0,5.0,5.0,6140.9459,5420.8539
65,3,563,331,568,312,"conCentroide_563331568312",8538.5,8528.6,0.0,30.0,5.0,5.0,8538.486,8528.6035
113,3,613,405,568,356,"conCentroide_613405568356",10381.2,12004.0,0.0,30.0,5.0,5.0,10381.191,12004.007
30,3,335,346,280,398,"conCentroide_335346280398",5208.9,5201.5,0.0,30.0,5.0,5.0,5208.8932,5201.4623
54,3,482,293,549,279,"conCentroide_482293549279",12254.7,12363.1,0.0,30.0,5.0,5.0,12254.697,12363.119
21,3,306,200,264,128,"conCentroide_306200264128",3748.6,3748.7,0.0,30.0,5.0,5.0,3748.575,3748.6646
55,3,482,293,457,324,"conCentroide_482293457324",5800.0,5823.3,0.0,30.0,5.0,5.0,5800.0136,5823.3141
31,3,335,346,281,292,"conCentroide_335346281292",4758.8,4735.1,0.0,30.0,5.0,5.0,4758.8413,4735.0629
97,3,452,449,409,395,"conCentroide_452449409395",4002.9,3404.0,3.49175661162184e-310,30.0,5.0,5.0,4002.8613,3404.0018
22,3,306,200,328,258,"conCentroide_306200328258",2962.2,3483.3,0.0,30.0,5.0,5.0,2962.1768,3483.2605
134,3,488,671,518,709,"conCentroide_488671518709",0.0,0.0,0.0,30.0,5.0,5.0,0.0,0.0
9,3,672,109,702,178,"Zone8VersRocadeCentreVille",21431.2,21237.3,0.0,300.0,5.0,5.0,21431.216,21237.311
120,3,714,503,696,545,"conCentroide_714503696545",7378.6,7436.4,0.0,30.0,5.0,5.0,7378.6071,7436.431
136,3,488,671,616,657,"conCentroide_488671616657",7227.1,7990.2,0.0,30.0,5.0,5.0,7227.0747,7990.2368
85,3,766,393,714,503,"conCentroide_766393714503",2692.3,7773.7,0.0,30.0,5.0,5.0,2692.2632,7773.6615
107,3,480,555,502,514,"conCentroide_480555502514",4049.5,4885.5,0.0,30.0,5.0,5.0,4049.4876,4885.5206
108,3,480,555,379,591,"conCentroide_480555379591",7328.0,7023.5,0.0,30.0,5.0,5.0,7327.9575,7023.5125
98,3,452,449,497,361,"conCentroide_452449497361",13171.1,13792.3,3.49175661162184e-310,30.0,5.0,5.0,13171.072,13792.294
15,3,178,211,238,280,"conCentroide_178211238280",5903.6,3216.9,0.0,30.0,5.0,5.0,5903.5517,3216.8871
92,3,215,493,195,494,"Zone2",4551.7,4542.3,0.0,300.0,5.0,5.0,4551.7466,4542.265
11,3,672,109,576,173,"Zone8ptiteRouteFleuve",0.0,0.0,0.0,300.0,50.0,50.0,0.0,0.0
77,3,775,258,880,319,"UnivTotoroute",4597.8,4633.3,0.0,300.0,5.0,5.0,4597.8104,4633.2983
137,3,488,671,399,699,"conCentroide_488671399699",1526.8,2644.0,0.0,30.0,5.0,5.0,1526.8353,2643.9644
109,3,480,555,483,622,"conCentroide_480555483622",19562.2,19164.1,0.0,30.0,5.0,5.0,19562.19,19164.131
121,3,714,503,648,491,"conCentroide_714503648491",577.7,578.5,0.0,30.0,5.0,5.0,577.67718,578.4922
32,3,335,346,375,311,"conCentroide_335346375311",959.7,957.4,0.0,30.0,5.0,5.0,959.71552,957.4072
112,3,613,405,651,437,"conCentroide_613405651437",4356.1,0.0,0.0,30.0,5.0,5.0,4356.104,0.0
53,3,482,293,493,242,"conCentroide_482293493242",3540.5,3541.2,0.0,30.0,5.0,5.0,3540.5188,3541.1556
66,3,563,331,568,356,"conCentroide_563331568356",8654.3,8648.9,0.0,30.0,5.0,5.0,8654.2702,8648.9382
76,3,775,258,776,353,"UnivDarty",2640.7,2630.4,0.0,300.0,5.0,5.0,2640.6582,2630.3821
114,3,613,405,672,358,"conCentroide_613405672358",3335.3,7666.2,0.0,30.0,5.0,5.0,3335.3008,7666.1685
75,3,775,258,696,329,"UnivTramBelldone",5043.5,5043.3,0.0,300.0,5.0,5.0,5043.5061,5043.2831
122,3,714,503,683,419,"conCentroide_714503683419",230.0,5346.6,0.0,30.0,5.0,5.0,229.97577,5346.6249
10,3,672,109,889,138,"Zone8TotorouteSudEst",0.0,0.0,0.0,300.0,50.0,50.0,0.0,0.0
33,3,335,346,385,395,"conCentroide_335346385395",4141.4,4151.0,0.0,30.0,5.0,5.0,4141.3847,4150.9907
49,2,405,251,485,233,"lienBidir_405251485233",0.0,0.0,0S3,30.0,5.02291544504047,5.02291544504047,1000.0,1000.0,1000.0,5.0,0.0,0.0
101,2,446,487,370,459,"lienBidir_446487370459",6659.1,4230.9,0S3,30.0,6.34990919805545,5.96099799378794,1000.0,1000.0,1000.0,5.0,6659.0892,4230.8972
43,2,485,233,493,242,"Pont de la citadelle",2993.3,2570.5,0S3,30.0,5.39346290239925,5.35579102258414,1000.0,1000.0,1000.0,5.0,2993.2808,2570.4514
105,2,502,514,446,487,"lienBidir_502514446487",4571.8,3805.7,0S3,30.0,5.77655282852055,5.67989614114661,1000.0,1000.0,1000.0,5.0,4571.8166,3805.7222
95,2,345,565,379,591,"lienBidir_345565379591",1719.7,345.2,0S3,30.0,5.13502129091384,5.07314768811539,1000.0,1000.0,1000.0,5.0,1719.7142,345.22838
117,2,683,419,651,437,"lienBidir_683419651437",230.0,4586.2,0S3,30.0,5.15363535122627,5.50024512195841,1000.0,1000.0,1000.0,5.0,229.97577,4586.1828
87,2,370,459,345,565,"lienBidir_370459345565",1536.6,0.0,0S3,30.0,5.1085796761724,5.04921334081331,1000.0,1000.0,1000.0,5.0,1536.6485,0.0
116,2,683,419,766,393,"lienBidir_683419766393",0.0,0.0,0S3,30.0,5.02291544504047,5.02291544504047,1000.0,1000.0,1000.0,5.0,0.0,0.0
83,2,766,393,672,358,"lienBidir_766393672358",5091.5,0.0,0S3,30.0,5.57435984194173,5.15105333013738,1000.0,1000.0,1000.0,5.0,5091.5001,0.0
