1,10,18,14,12,13,17,24,25,22,19,20,18,16,21,26
2,18,7,19,17,16,24,24,27,21,24,23,18,19,21,26
3,14,19,9,12,14,14,25,23,22,15,19,18,15,21,24
4,12,17,12,7,11,13,21,19,20,13,15,16,11,18,20
5,13,16,14,11,9,19,20,21,17,18,17,13,12,16,21
6,17,24,14,13,19,10,22,19,25,10,16,23,16,24,23
7,24,24,25,21,20,22,10,13,11,19,16,14,18,21,12
8,25,27,23,19,21,19,13,10,16,16,14,18,17,24,20
9,22,21,22,20,17,25,11,16,10,22,17,12,21,18,11
10,19,24,15,13,18,10,19,16,22,5,13,23,14,22,20
11,20,23,19,15,17,16,16,14,17,13,3,22,12,18,15
12,18,18,18,16,13,23,14,18,12,23,22,10,18,14,16
13,17,19,15,11,12,16,18,16,21,14,12,18,4,14,17
14,21,21,21,18,16,24,21,24,18,21,18,14,14,5,16
15,26,26,24,20,21,23,12,20,11,21,15,16,17,16,6
